Country,Region,value,variable,year
Sweden,Western Europe,7.291,Happiness Score,2016
Israel,Middle East and Northern Africa,7.267,Happiness Score,2016
Austria,Western Europe,7.119,Happiness Score,2016
United States,North America,7.104,Happiness Score,2016
Costa Rica,Latin America and Caribbean,7.087,Happiness Score,2016
Puerto Rico,Latin America and Caribbean,7.039,Happiness Score,2016
Germany,Western Europe,6.994,Happiness Score,2016
Brazil,Latin America and Caribbean,6.952,Happiness Score,2016
Belgium,Western Europe,6.929,Happiness Score,2016
Ireland,Western Europe,6.907,Happiness Score,2016
Luxembourg,Western Europe,6.871,Happiness Score,2016
Mexico,Latin America and Caribbean,6.778,Happiness Score,2016
Singapore,Southeastern Asia,6.739,Happiness Score,2016
United Kingdom,Western Europe,6.725,Happiness Score,2016
Chile,Latin America and Caribbean,6.705,Happiness Score,2016
Panama,Latin America and Caribbean,6.701,Happiness Score,2016
Argentina,Latin America and Caribbean,6.65,Happiness Score,2016
Czech Republic,Central and Eastern Europe,6.596,Happiness Score,2016
United Arab Emirates,Middle East and Northern Africa,6.573,Happiness Score,2016
Uruguay,Latin America and Caribbean,6.545,Happiness Score,2016
Malta,Western Europe,6.488,Happiness Score,2016
Colombia,Latin America and Caribbean,6.481,Happiness Score,2016
France,Western Europe,6.478,Happiness Score,2016
Thailand,Southeastern Asia,6.474,Happiness Score,2016
Saudi Arabia,Middle East and Northern Africa,6.379,Happiness Score,2016
Taiwan,Eastern Asia,6.379,Happiness Score,2016
Qatar,Middle East and Northern Africa,6.375,Happiness Score,2016
Spain,Western Europe,6.361,Happiness Score,2016
Algeria,Middle East and Northern Africa,6.355,Happiness Score,2016
Guatemala,Latin America and Caribbean,6.324,Happiness Score,2016
Suriname,Latin America and Caribbean,6.269,Happiness Score,2016
Kuwait,Middle East and Northern Africa,6.239,Happiness Score,2016
Bahrain,Middle East and Northern Africa,6.218,Happiness Score,2016
Trinidad and Tobago,Latin America and Caribbean,6.168,Happiness Score,2016
Venezuela,Latin America and Caribbean,6.084,Happiness Score,2016
Slovakia,Central and Eastern Europe,6.078,Happiness Score,2016
El Salvador,Latin America and Caribbean,6.068,Happiness Score,2016
Malaysia,Southeastern Asia,6.005,Happiness Score,2016
Nicaragua,Latin America and Caribbean,5.992,Happiness Score,2016
Uzbekistan,Central and Eastern Europe,5.987,Happiness Score,2016
Italy,Western Europe,5.977,Happiness Score,2016
Ecuador,Latin America and Caribbean,5.976,Happiness Score,2016
Belize,Latin America and Caribbean,5.956,Happiness Score,2016
Japan,Eastern Asia,5.921,Happiness Score,2016
Kazakhstan,Central and Eastern Europe,5.919,Happiness Score,2016
Moldova,Central and Eastern Europe,5.897,Happiness Score,2016
Russia,Central and Eastern Europe,5.856,Happiness Score,2016
Poland,Central and Eastern Europe,5.835,Happiness Score,2016
South Korea,Eastern Asia,5.835,Happiness Score,2016
Bolivia,Latin America and Caribbean,5.822,Happiness Score,2016
Lithuania,Central and Eastern Europe,5.813,Happiness Score,2016
Belarus,Central and Eastern Europe,5.802,Happiness Score,2016
North Cyprus,Western Europe,5.771,Happiness Score,2016
Slovenia,Central and Eastern Europe,5.768,Happiness Score,2016
Peru,Latin America and Caribbean,5.743,Happiness Score,2016
Turkmenistan,Central and Eastern Europe,5.658,Happiness Score,2016
Mauritius,Sub-Saharan Africa,5.648,Happiness Score,2016
Libya,Middle East and Northern Africa,5.615,Happiness Score,2016
Latvia,Central and Eastern Europe,5.56,Happiness Score,2016
Cyprus,Western Europe,5.546,Happiness Score,2016
Paraguay,Latin America and Caribbean,5.538,Happiness Score,2016
Romania,Central and Eastern Europe,5.528,Happiness Score,2016
Estonia,Central and Eastern Europe,5.517,Happiness Score,2016
Jamaica,Latin America and Caribbean,5.51,Happiness Score,2016
Croatia,Central and Eastern Europe,5.488,Happiness Score,2016
Hong Kong,Eastern Asia,5.458,Happiness Score,2016
Somalia,Sub-Saharan Africa,5.44,Happiness Score,2016
Kosovo,Central and Eastern Europe,5.401,Happiness Score,2016
Turkey,Middle East and Northern Africa,5.389,Happiness Score,2016
Indonesia,Southeastern Asia,5.314,Happiness Score,2016
Jordan,Middle East and Northern Africa,5.303,Happiness Score,2016
Azerbaijan,Central and Eastern Europe,5.291,Happiness Score,2016
Philippines,Southeastern Asia,5.279,Happiness Score,2016
China,Eastern Asia,5.245,Happiness Score,2016
Bhutan,Southern Asia,5.196,Happiness Score,2016
Kyrgyzstan,Central and Eastern Europe,5.185,Happiness Score,2016
Serbia,Central and Eastern Europe,5.177,Happiness Score,2016
Bosnia and Herzegovina,Central and Eastern Europe,5.163,Happiness Score,2016
Montenegro,Central and Eastern Europe,5.161,Happiness Score,2016
Dominican Republic,Latin America and Caribbean,5.155,Happiness Score,2016
Morocco,Middle East and Northern Africa,5.151,Happiness Score,2016
Hungary,Central and Eastern Europe,5.145,Happiness Score,2016
Pakistan,Southern Asia,5.132,Happiness Score,2016
Lebanon,Middle East and Northern Africa,5.129,Happiness Score,2016
Portugal,Western Europe,5.123,Happiness Score,2016
Macedonia,Central and Eastern Europe,5.121,Happiness Score,2016
Vietnam,Southeastern Asia,5.061,Happiness Score,2016
Somaliland Region,Sub-Saharan Africa,5.057,Happiness Score,2016
Tunisia,Middle East and Northern Africa,5.045,Happiness Score,2016
Greece,Western Europe,5.033,Happiness Score,2016
Tajikistan,Central and Eastern Europe,4.996,Happiness Score,2016
Mongolia,Eastern Asia,4.907,Happiness Score,2016
Laos,Southeastern Asia,4.876,Happiness Score,2016
Nigeria,Sub-Saharan Africa,4.875,Happiness Score,2016
Honduras,Latin America and Caribbean,4.871,Happiness Score,2016
Iran,Middle East and Northern Africa,4.813,Happiness Score,2016
Zambia,Sub-Saharan Africa,4.795,Happiness Score,2016
Nepal,Southern Asia,4.793,Happiness Score,2016
Palestinian Territories,Middle East and Northern Africa,4.754,Happiness Score,2016
Albania,Central and Eastern Europe,4.655,Happiness Score,2016
Bangladesh,Southern Asia,4.643,Happiness Score,2016
Sierra Leone,Sub-Saharan Africa,4.635,Happiness Score,2016
Iraq,Middle East and Northern Africa,4.575,Happiness Score,2016
Namibia,Sub-Saharan Africa,4.574,Happiness Score,2016
Cameroon,Sub-Saharan Africa,4.513,Happiness Score,2016
Ethiopia,Sub-Saharan Africa,4.508,Happiness Score,2016
South Africa,Sub-Saharan Africa,4.459,Happiness Score,2016
Sri Lanka,Southern Asia,4.415,Happiness Score,2016
India,Southern Asia,4.404,Happiness Score,2016
Myanmar,Southeastern Asia,4.395,Happiness Score,2016
Egypt,Middle East and Northern Africa,4.362,Happiness Score,2016
Armenia,Central and Eastern Europe,4.36,Happiness Score,2016
Kenya,Sub-Saharan Africa,4.356,Happiness Score,2016
Ukraine,Central and Eastern Europe,4.324,Happiness Score,2016
Ghana,Sub-Saharan Africa,4.276,Happiness Score,2016
Congo (Kinshasa),Sub-Saharan Africa,4.272,Happiness Score,2016
Georgia,Central and Eastern Europe,4.252,Happiness Score,2016
Congo (Brazzaville),Sub-Saharan Africa,4.236,Happiness Score,2016
Senegal,Sub-Saharan Africa,4.219,Happiness Score,2016
Bulgaria,Central and Eastern Europe,4.217,Happiness Score,2016
Mauritania,Sub-Saharan Africa,4.201,Happiness Score,2016
Zimbabwe,Sub-Saharan Africa,4.193,Happiness Score,2016
Malawi,Sub-Saharan Africa,4.156,Happiness Score,2016
Sudan,Sub-Saharan Africa,4.139,Happiness Score,2016
Gabon,Sub-Saharan Africa,4.121,Happiness Score,2016
Mali,Sub-Saharan Africa,4.073,Happiness Score,2016
Haiti,Latin America and Caribbean,4.028,Happiness Score,2016
Botswana,Sub-Saharan Africa,3.974,Happiness Score,2016
Comoros,Sub-Saharan Africa,3.956,Happiness Score,2016
Ivory Coast,Sub-Saharan Africa,3.916,Happiness Score,2016
Cambodia,Southeastern Asia,3.907,Happiness Score,2016
Angola,Sub-Saharan Africa,3.866,Happiness Score,2016
Niger,Sub-Saharan Africa,3.856,Happiness Score,2016
South Sudan,Sub-Saharan Africa,3.832,Happiness Score,2016
Chad,Sub-Saharan Africa,3.763,Happiness Score,2016
Burkina Faso,Sub-Saharan Africa,3.739,Happiness Score,2016
Uganda,Sub-Saharan Africa,3.739,Happiness Score,2016
Yemen,Middle East and Northern Africa,3.724,Happiness Score,2016
Madagascar,Sub-Saharan Africa,3.695,Happiness Score,2016
Tanzania,Sub-Saharan Africa,3.666,Happiness Score,2016
Liberia,Sub-Saharan Africa,3.622,Happiness Score,2016
Guinea,Sub-Saharan Africa,3.607,Happiness Score,2016
Rwanda,Sub-Saharan Africa,3.515,Happiness Score,2016
Benin,Sub-Saharan Africa,3.484,Happiness Score,2016
Afghanistan,Southern Asia,3.36,Happiness Score,2016
Togo,Sub-Saharan Africa,3.303,Happiness Score,2016
Syria,Middle East and Northern Africa,3.069,Happiness Score,2016
Burundi,Sub-Saharan Africa,2.905,Happiness Score,2016
Switzerland,Western Europe,1.39651,Economy (GDP per Capita),2015
Iceland,Western Europe,1.30232,Economy (GDP per Capita),2015
Denmark,Western Europe,1.32548,Economy (GDP per Capita),2015
Norway,Western Europe,1.459,Economy (GDP per Capita),2015
Canada,North America,1.32629,Economy (GDP per Capita),2015
Finland,Western Europe,1.29025,Economy (GDP per Capita),2015
Netherlands,Western Europe,1.32944,Economy (GDP per Capita),2015
Sweden,Western Europe,1.33171,Economy (GDP per Capita),2015
New Zealand,Australia and New Zealand,1.25018,Economy (GDP per Capita),2015
Australia,Australia and New Zealand,1.33358,Economy (GDP per Capita),2015
Israel,Middle East and Northern Africa,1.22857,Economy (GDP per Capita),2015
Costa Rica,Latin America and Caribbean,0.95578,Economy (GDP per Capita),2015
Austria,Western Europe,1.33723,Economy (GDP per Capita),2015
Mexico,Latin America and Caribbean,1.02054,Economy (GDP per Capita),2015
United States,North America,1.39451,Economy (GDP per Capita),2015
Brazil,Latin America and Caribbean,0.98124,Economy (GDP per Capita),2015
Luxembourg,Western Europe,1.56391,Economy (GDP per Capita),2015
Ireland,Western Europe,1.33596,Economy (GDP per Capita),2015
Belgium,Western Europe,1.30782,Economy (GDP per Capita),2015
United Arab Emirates,Middle East and Northern Africa,1.42727,Economy (GDP per Capita),2015
United Kingdom,Western Europe,1.26637,Economy (GDP per Capita),2015
Oman,Middle East and Northern Africa,1.36011,Economy (GDP per Capita),2015
Venezuela,Latin America and Caribbean,1.04424,Economy (GDP per Capita),2015
Singapore,Southeastern Asia,1.52186,Economy (GDP per Capita),2015
Panama,Latin America and Caribbean,1.06353,Economy (GDP per Capita),2015
Germany,Western Europe,1.32792,Economy (GDP per Capita),2015
Chile,Latin America and Caribbean,1.10715,Economy (GDP per Capita),2015
Qatar,Middle East and Northern Africa,1.69042,Economy (GDP per Capita),2015
France,Western Europe,1.27778,Economy (GDP per Capita),2015
Argentina,Latin America and Caribbean,1.05351,Economy (GDP per Capita),2015
Czech Republic,Central and Eastern Europe,1.17898,Economy (GDP per Capita),2015
Uruguay,Latin America and Caribbean,1.06166,Economy (GDP per Capita),2015
Colombia,Latin America and Caribbean,0.91861,Economy (GDP per Capita),2015
Thailand,Southeastern Asia,0.9669,Economy (GDP per Capita),2015
Saudi Arabia,Middle East and Northern Africa,1.39541,Economy (GDP per Capita),2015
Spain,Western Europe,1.23011,Economy (GDP per Capita),2015
Malta,Western Europe,1.2074,Economy (GDP per Capita),2015
Taiwan,Eastern Asia,1.29098,Economy (GDP per Capita),2015
Kuwait,Middle East and Northern Africa,1.55422,Economy (GDP per Capita),2015
Suriname,Latin America and Caribbean,0.99534,Economy (GDP per Capita),2015
Trinidad and Tobago,Latin America and Caribbean,1.21183,Economy (GDP per Capita),2015
El Salvador,Latin America and Caribbean,0.76454,Economy (GDP per Capita),2015
Guatemala,Latin America and Caribbean,0.74553,Economy (GDP per Capita),2015
Uzbekistan,Central and Eastern Europe,0.63244,Economy (GDP per Capita),2015
Slovakia,Central and Eastern Europe,1.16891,Economy (GDP per Capita),2015
Japan,Eastern Asia,1.27074,Economy (GDP per Capita),2015
South Korea,Eastern Asia,1.24461,Economy (GDP per Capita),2015
Ecuador,Latin America and Caribbean,0.86402,Economy (GDP per Capita),2015
Bahrain,Middle East and Northern Africa,1.32376,Economy (GDP per Capita),2015
Italy,Western Europe,1.25114,Economy (GDP per Capita),2015
Bolivia,Latin America and Caribbean,0.68133,Economy (GDP per Capita),2015
Moldova,Central and Eastern Europe,0.59448,Economy (GDP per Capita),2015
Paraguay,Latin America and Caribbean,0.75985,Economy (GDP per Capita),2015
Kazakhstan,Central and Eastern Europe,1.12254,Economy (GDP per Capita),2015
Slovenia,Central and Eastern Europe,1.18498,Economy (GDP per Capita),2015
Lithuania,Central and Eastern Europe,1.14723,Economy (GDP per Capita),2015
Nicaragua,Latin America and Caribbean,0.59325,Economy (GDP per Capita),2015
Peru,Latin America and Caribbean,0.90019,Economy (GDP per Capita),2015
Belarus,Central and Eastern Europe,1.03192,Economy (GDP per Capita),2015
Poland,Central and Eastern Europe,1.12555,Economy (GDP per Capita),2015
Malaysia,Southeastern Asia,1.12486,Economy (GDP per Capita),2015
Croatia,Central and Eastern Europe,1.08254,Economy (GDP per Capita),2015
Libya,Middle East and Northern Africa,1.13145,Economy (GDP per Capita),2015
Russia,Central and Eastern Europe,1.13764,Economy (GDP per Capita),2015
Jamaica,Latin America and Caribbean,0.81038,Economy (GDP per Capita),2015
North Cyprus,Western Europe,1.20806,Economy (GDP per Capita),2015
Cyprus,Western Europe,1.20813,Economy (GDP per Capita),2015
Algeria,Middle East and Northern Africa,0.93929,Economy (GDP per Capita),2015
Kosovo,Central and Eastern Europe,0.80148,Economy (GDP per Capita),2015
Turkmenistan,Central and Eastern Europe,0.95847,Economy (GDP per Capita),2015
Mauritius,Sub-Saharan Africa,1.00761,Economy (GDP per Capita),2015
Hong Kong,Eastern Asia,1.38604,Economy (GDP per Capita),2015
Estonia,Central and Eastern Europe,1.15174,Economy (GDP per Capita),2015
Indonesia,Southeastern Asia,0.82827,Economy (GDP per Capita),2015
Vietnam,Southeastern Asia,0.63216,Economy (GDP per Capita),2015
Turkey,Middle East and Northern Africa,1.06098,Economy (GDP per Capita),2015
Kyrgyzstan,Central and Eastern Europe,0.47428,Economy (GDP per Capita),2015
Nigeria,Sub-Saharan Africa,0.65435,Economy (GDP per Capita),2015
Bhutan,Southern Asia,0.77042,Economy (GDP per Capita),2015
Azerbaijan,Central and Eastern Europe,1.02389,Economy (GDP per Capita),2015
Pakistan,Southern Asia,0.59543,Economy (GDP per Capita),2015
Jordan,Middle East and Northern Africa,0.90198,Economy (GDP per Capita),2015
Montenegro,Central and Eastern Europe,0.97438,Economy (GDP per Capita),2015
China,Eastern Asia,0.89012,Economy (GDP per Capita),2015
Zambia,Sub-Saharan Africa,0.47038,Economy (GDP per Capita),2015
Romania,Central and Eastern Europe,1.04345,Economy (GDP per Capita),2015
Serbia,Central and Eastern Europe,0.92053,Economy (GDP per Capita),2015
Portugal,Western Europe,1.15991,Economy (GDP per Capita),2015
Latvia,Central and Eastern Europe,1.11312,Economy (GDP per Capita),2015
Philippines,Southeastern Asia,0.70532,Economy (GDP per Capita),2015
Somaliland region,Sub-Saharan Africa,0.18847,Economy (GDP per Capita),2015
Morocco,Middle East and Northern Africa,0.73479,Economy (GDP per Capita),2015
Macedonia,Central and Eastern Europe,0.91851,Economy (GDP per Capita),2015
Mozambique,Sub-Saharan Africa,0.08308,Economy (GDP per Capita),2015
Albania,Central and Eastern Europe,0.87867,Economy (GDP per Capita),2015
Bosnia and Herzegovina,Central and Eastern Europe,0.83223,Economy (GDP per Capita),2015
Lesotho,Sub-Saharan Africa,0.37545,Economy (GDP per Capita),2015
Dominican Republic,Latin America and Caribbean,0.89537,Economy (GDP per Capita),2015
Laos,Southeastern Asia,0.59066,Economy (GDP per Capita),2015
Mongolia,Eastern Asia,0.82819,Economy (GDP per Capita),2015
Swaziland,Sub-Saharan Africa,0.71206,Economy (GDP per Capita),2015
Greece,Western Europe,1.15406,Economy (GDP per Capita),2015
Lebanon,Middle East and Northern Africa,1.02564,Economy (GDP per Capita),2015
Hungary,Central and Eastern Europe,1.12094,Economy (GDP per Capita),2015
Honduras,Latin America and Caribbean,0.59532,Economy (GDP per Capita),2015
Tajikistan,Central and Eastern Europe,0.39047,Economy (GDP per Capita),2015
Tunisia,Middle East and Northern Africa,0.88113,Economy (GDP per Capita),2015
Palestinian Territories,Middle East and Northern Africa,0.59867,Economy (GDP per Capita),2015
Bangladesh,Southern Asia,0.39753,Economy (GDP per Capita),2015
Iran,Middle East and Northern Africa,1.0088,Economy (GDP per Capita),2015
Ukraine,Central and Eastern Europe,0.79907,Economy (GDP per Capita),2015
Iraq,Middle East and Northern Africa,0.98549,Economy (GDP per Capita),2015
South Africa,Sub-Saharan Africa,0.92049,Economy (GDP per Capita),2015
Ghana,Sub-Saharan Africa,0.54558,Economy (GDP per Capita),2015
Zimbabwe,Sub-Saharan Africa,0.271,Economy (GDP per Capita),2015
Liberia,Sub-Saharan Africa,0.0712,Economy (GDP per Capita),2015
India,Southern Asia,0.64499,Economy (GDP per Capita),2015
Sudan,Sub-Saharan Africa,0.52107,Economy (GDP per Capita),2015
Haiti,Latin America and Caribbean,0.26673,Economy (GDP per Capita),2015
Congo (Kinshasa),Sub-Saharan Africa,0,Economy (GDP per Capita),2015
Nepal,Southern Asia,0.35997,Economy (GDP per Capita),2015
Ethiopia,Sub-Saharan Africa,0.19073,Economy (GDP per Capita),2015
Sierra Leone,Sub-Saharan Africa,0.33024,Economy (GDP per Capita),2015
Mauritania,Sub-Saharan Africa,0.45407,Economy (GDP per Capita),2015
Kenya,Sub-Saharan Africa,0.36471,Economy (GDP per Capita),2015
Djibouti,Sub-Saharan Africa,0.44025,Economy (GDP per Capita),2015
Armenia,Central and Eastern Europe,0.76821,Economy (GDP per Capita),2015
Botswana,Sub-Saharan Africa,0.99355,Economy (GDP per Capita),2015
Myanmar,Southeastern Asia,0.27108,Economy (GDP per Capita),2015
Georgia,Central and Eastern Europe,0.7419,Economy (GDP per Capita),2015
Malawi,Sub-Saharan Africa,0.01604,Economy (GDP per Capita),2015
Sri Lanka,Southern Asia,0.83524,Economy (GDP per Capita),2015
Cameroon,Sub-Saharan Africa,0.4225,Economy (GDP per Capita),2015
Bulgaria,Central and Eastern Europe,1.01216,Economy (GDP per Capita),2015
Egypt,Middle East and Northern Africa,0.8818,Economy (GDP per Capita),2015
Yemen,Middle East and Northern Africa,0.54649,Economy (GDP per Capita),2015
Angola,Sub-Saharan Africa,0.75778,Economy (GDP per Capita),2015
Mali,Sub-Saharan Africa,0.26074,Economy (GDP per Capita),2015
Congo (Brazzaville),Sub-Saharan Africa,0.67866,Economy (GDP per Capita),2015
Comoros,Sub-Saharan Africa,0.23906,Economy (GDP per Capita),2015
Uganda,Sub-Saharan Africa,0.21102,Economy (GDP per Capita),2015
Senegal,Sub-Saharan Africa,0.36498,Economy (GDP per Capita),2015
Gabon,Sub-Saharan Africa,1.06024,Economy (GDP per Capita),2015
Niger,Sub-Saharan Africa,0.0694,Economy (GDP per Capita),2015
Cambodia,Southeastern Asia,0.46038,Economy (GDP per Capita),2015
Tanzania,Sub-Saharan Africa,0.2852,Economy (GDP per Capita),2015
Madagascar,Sub-Saharan Africa,0.20824,Economy (GDP per Capita),2015
Chad,Sub-Saharan Africa,0.34193,Economy (GDP per Capita),2015
Guinea,Sub-Saharan Africa,0.17417,Economy (GDP per Capita),2015
Ivory Coast,Sub-Saharan Africa,0.46534,Economy (GDP per Capita),2015
Burkina Faso,Sub-Saharan Africa,0.25812,Economy (GDP per Capita),2015
Afghanistan,Southern Asia,0.31982,Economy (GDP per Capita),2015
Rwanda,Sub-Saharan Africa,0.22208,Economy (GDP per Capita),2015
Benin,Sub-Saharan Africa,0.28665,Economy (GDP per Capita),2015
Syria,Middle East and Northern Africa,0.6632,Economy (GDP per Capita),2015
Burundi,Sub-Saharan Africa,0.0153,Economy (GDP per Capita),2015
Togo,Sub-Saharan Africa,0.20868,Economy (GDP per Capita),2015
Denmark,Western Europe,1.44178,Economy (GDP per Capita),2016
Switzerland,Western Europe,1.52733,Economy (GDP per Capita),2016
Iceland,Western Europe,1.42666,Economy (GDP per Capita),2016
Norway,Western Europe,1.57744,Economy (GDP per Capita),2016
Finland,Western Europe,1.40598,Economy (GDP per Capita),2016
Canada,North America,1.44015,Economy (GDP per Capita),2016
Netherlands,Western Europe,1.46468,Economy (GDP per Capita),2016
New Zealand,Australia and New Zealand,1.36066,Economy (GDP per Capita),2016
Australia,Australia and New Zealand,1.44443,Economy (GDP per Capita),2016
Sweden,Western Europe,1.45181,Economy (GDP per Capita),2016
Israel,Middle East and Northern Africa,1.33766,Economy (GDP per Capita),2016
Austria,Western Europe,1.45038,Economy (GDP per Capita),2016
United States,North America,1.50796,Economy (GDP per Capita),2016
Costa Rica,Latin America and Caribbean,1.06879,Economy (GDP per Capita),2016
Puerto Rico,Latin America and Caribbean,1.35943,Economy (GDP per Capita),2016
Germany,Western Europe,1.44787,Economy (GDP per Capita),2016
Brazil,Latin America and Caribbean,1.08754,Economy (GDP per Capita),2016
Belgium,Western Europe,1.42539,Economy (GDP per Capita),2016
Ireland,Western Europe,1.48341,Economy (GDP per Capita),2016
Luxembourg,Western Europe,1.69752,Economy (GDP per Capita),2016
Mexico,Latin America and Caribbean,1.11508,Economy (GDP per Capita),2016
Singapore,Southeastern Asia,1.64555,Economy (GDP per Capita),2016
United Kingdom,Western Europe,1.40283,Economy (GDP per Capita),2016
Chile,Latin America and Caribbean,1.2167,Economy (GDP per Capita),2016
Panama,Latin America and Caribbean,1.18306,Economy (GDP per Capita),2016
Argentina,Latin America and Caribbean,1.15137,Economy (GDP per Capita),2016
Czech Republic,Central and Eastern Europe,1.30915,Economy (GDP per Capita),2016
United Arab Emirates,Middle East and Northern Africa,1.57352,Economy (GDP per Capita),2016
Uruguay,Latin America and Caribbean,1.18157,Economy (GDP per Capita),2016
Malta,Western Europe,1.30782,Economy (GDP per Capita),2016
Colombia,Latin America and Caribbean,1.03032,Economy (GDP per Capita),2016
France,Western Europe,1.39488,Economy (GDP per Capita),2016
Thailand,Southeastern Asia,1.0893,Economy (GDP per Capita),2016
Saudi Arabia,Middle East and Northern Africa,1.48953,Economy (GDP per Capita),2016
Taiwan,Eastern Asia,1.39729,Economy (GDP per Capita),2016
Qatar,Middle East and Northern Africa,1.82427,Economy (GDP per Capita),2016
Spain,Western Europe,1.34253,Economy (GDP per Capita),2016
Algeria,Middle East and Northern Africa,1.05266,Economy (GDP per Capita),2016
Guatemala,Latin America and Caribbean,0.83454,Economy (GDP per Capita),2016
Suriname,Latin America and Caribbean,1.09686,Economy (GDP per Capita),2016
Kuwait,Middle East and Northern Africa,1.61714,Economy (GDP per Capita),2016
Bahrain,Middle East and Northern Africa,1.44024,Economy (GDP per Capita),2016
Trinidad and Tobago,Latin America and Caribbean,1.32572,Economy (GDP per Capita),2016
Venezuela,Latin America and Caribbean,1.13367,Economy (GDP per Capita),2016
Slovakia,Central and Eastern Europe,1.27973,Economy (GDP per Capita),2016
El Salvador,Latin America and Caribbean,0.8737,Economy (GDP per Capita),2016
Malaysia,Southeastern Asia,1.25142,Economy (GDP per Capita),2016
Nicaragua,Latin America and Caribbean,0.69384,Economy (GDP per Capita),2016
Uzbekistan,Central and Eastern Europe,0.73591,Economy (GDP per Capita),2016
Italy,Western Europe,1.35495,Economy (GDP per Capita),2016
Ecuador,Latin America and Caribbean,0.97306,Economy (GDP per Capita),2016
Belize,Latin America and Caribbean,0.87616,Economy (GDP per Capita),2016
Japan,Eastern Asia,1.38007,Economy (GDP per Capita),2016
Kazakhstan,Central and Eastern Europe,1.22943,Economy (GDP per Capita),2016
Moldova,Central and Eastern Europe,0.69177,Economy (GDP per Capita),2016
Russia,Central and Eastern Europe,1.23228,Economy (GDP per Capita),2016
Poland,Central and Eastern Europe,1.24585,Economy (GDP per Capita),2016
South Korea,Eastern Asia,1.35948,Economy (GDP per Capita),2016
Bolivia,Latin America and Caribbean,0.79422,Economy (GDP per Capita),2016
Lithuania,Central and Eastern Europe,1.2692,Economy (GDP per Capita),2016
Belarus,Central and Eastern Europe,1.13062,Economy (GDP per Capita),2016
North Cyprus,Western Europe,1.31141,Economy (GDP per Capita),2016
Slovenia,Central and Eastern Europe,1.29947,Economy (GDP per Capita),2016
Peru,Latin America and Caribbean,0.99602,Economy (GDP per Capita),2016
Turkmenistan,Central and Eastern Europe,1.08017,Economy (GDP per Capita),2016
Mauritius,Sub-Saharan Africa,1.14372,Economy (GDP per Capita),2016
Libya,Middle East and Northern Africa,1.06688,Economy (GDP per Capita),2016
Latvia,Central and Eastern Europe,1.21788,Economy (GDP per Capita),2016
Cyprus,Western Europe,1.31857,Economy (GDP per Capita),2016
Paraguay,Latin America and Caribbean,0.89373,Economy (GDP per Capita),2016
Romania,Central and Eastern Europe,1.1697,Economy (GDP per Capita),2016
Estonia,Central and Eastern Europe,1.27964,Economy (GDP per Capita),2016
Jamaica,Latin America and Caribbean,0.89333,Economy (GDP per Capita),2016
Croatia,Central and Eastern Europe,1.18649,Economy (GDP per Capita),2016
Hong Kong,Eastern Asia,1.5107,Economy (GDP per Capita),2016
Somalia,Sub-Saharan Africa,0,Economy (GDP per Capita),2016
Kosovo,Central and Eastern Europe,0.90145,Economy (GDP per Capita),2016
Turkey,Middle East and Northern Africa,1.16492,Economy (GDP per Capita),2016
Indonesia,Southeastern Asia,0.95104,Economy (GDP per Capita),2016
Jordan,Middle East and Northern Africa,0.99673,Economy (GDP per Capita),2016
Azerbaijan,Central and Eastern Europe,1.12373,Economy (GDP per Capita),2016
Philippines,Southeastern Asia,0.81217,Economy (GDP per Capita),2016
China,Eastern Asia,1.0278,Economy (GDP per Capita),2016
Bhutan,Southern Asia,0.8527,Economy (GDP per Capita),2016
Kyrgyzstan,Central and Eastern Europe,0.56044,Economy (GDP per Capita),2016
Serbia,Central and Eastern Europe,1.03437,Economy (GDP per Capita),2016
Bosnia and Herzegovina,Central and Eastern Europe,0.93383,Economy (GDP per Capita),2016
Montenegro,Central and Eastern Europe,1.07838,Economy (GDP per Capita),2016
Dominican Republic,Latin America and Caribbean,1.02787,Economy (GDP per Capita),2016
Morocco,Middle East and Northern Africa,0.84058,Economy (GDP per Capita),2016
Hungary,Central and Eastern Europe,1.24142,Economy (GDP per Capita),2016
Pakistan,Southern Asia,0.68816,Economy (GDP per Capita),2016
Lebanon,Middle East and Northern Africa,1.12268,Economy (GDP per Capita),2016
Portugal,Western Europe,1.27607,Economy (GDP per Capita),2016
Macedonia,Central and Eastern Europe,1.0193,Economy (GDP per Capita),2016
Vietnam,Southeastern Asia,0.74037,Economy (GDP per Capita),2016
Somaliland Region,Sub-Saharan Africa,0.25558,Economy (GDP per Capita),2016
Tunisia,Middle East and Northern Africa,0.97724,Economy (GDP per Capita),2016
Greece,Western Europe,1.24886,Economy (GDP per Capita),2016
Tajikistan,Central and Eastern Europe,0.48835,Economy (GDP per Capita),2016
Mongolia,Eastern Asia,0.98853,Economy (GDP per Capita),2016
Laos,Southeastern Asia,0.68042,Economy (GDP per Capita),2016
Nigeria,Sub-Saharan Africa,0.75216,Economy (GDP per Capita),2016
Honduras,Latin America and Caribbean,0.69429,Economy (GDP per Capita),2016
Iran,Middle East and Northern Africa,1.11758,Economy (GDP per Capita),2016
Zambia,Sub-Saharan Africa,0.61202,Economy (GDP per Capita),2016
Nepal,Southern Asia,0.44626,Economy (GDP per Capita),2016
Palestinian Territories,Middle East and Northern Africa,0.67024,Economy (GDP per Capita),2016
Albania,Central and Eastern Europe,0.9553,Economy (GDP per Capita),2016
Bangladesh,Southern Asia,0.54177,Economy (GDP per Capita),2016
